Weight,Temp,PA,TO Climb Rate,MCP Climb Rate,OEI Climb Rate
3935,20,3000,1138,1101,156
3935,20,4000,1064,1064,113
3935,20,5000,990,990,69
3935,20,6000,917,917,25
3935,20,7000,842,842,-18
3935,20,8000,768,768,-62
3935,20,9000,694,694,-106
3935,20,10000,619,619,-150
3935,20,11000,544,544,-194
3935,20,12000,470,470,-238
3935,20,13000,395,395,-283
3935,20,14000,319,319,-327
3935,20,15000,244,244,-371
3935,20,16000,169,169,-416
3935,20,17000,93,93,-460
3935,20,18000,18,18,-504
3935,25,0,1340,1083,275
3935,25,1000,1267,1083,231
3935,25,2000,1193,1083,188
3935,25,3000,1120,1083,144
3935,25,4000,1046,1046,101
3935,25,5000,972,972,57
3935,25,6000,898,898,13
3935,25,7000,824,824,-31
3935,25,8000,749,749,-75
3935,25,9000,675,675,-119
3935,25,10000,600,600,-163
3935,25,11000,525,525,-207
3935,25,12000,450,450,-251
3935,25,13000,375,375,-295
3935,25,14000,300,300,-340
3935,25,15000,224,224,-384
3935,25,16000,149,149,-428
3935,25,17000,73,73,-473
3935,25,18000,-3,-3,-517
3935,30,0,1323,1065,263
3935,30,1000,1250,1065,220
3935,30,2000,1176,1065,176
3935,30,3000,1102,1065,132
3935,30,4000,1028,1028,89
3935,30,5000,954,954,45
3935,30,6000,880,880,1
3935,30,7000,805,805,-43
3935,30,8000,731,731,-87
3935,30,9000,656,656,-131
3935,30,10000,561,581,-175
3935,30,11000,506,506,-219
3935,30,12000,431,431,-264
3935,30,13000,355,355,-308
3935,30,14000,280,280,-352
3935,30,15000,204,204,-397
3935,30,16000,129,129,-441
3935,30,17000,53,53,-485
3935,30,18000,-23,-23,-530
3935,35,0,1306,1048,252
3935,35,1000,1233,1048,208
3935,35,2000,1159,1048,164
3935,35,3000,1085,1048,121
3935,35,4000,1011,1011,77
3935,35,5000,936,936,33
3935,35,6000,862,862,-11
3935,35,7000,787,787,-55
3935,35,8000,712,712,-99
3935,35,9000,637,637,-143
3935,35,10000,562,562,-187
3935,35,11000,487,487,-232
3935,35,12000,412,412,-276
3935,35,13000,336,336,-320
3935,35,14000,261,261,-365
3935,35,15000,185,185,-409
3935,35,16000,109,109,-453
3935,35,17000,33,33,-498
3935,35,18000,-43,-43,-542
3935,40,0,1289,1030,240
3935,40,1000,1216,1030,197
3935,40,2000,1142,1030,153
3935,40,3000,1067,1030,109
3935,40,4000,993,993,65
3935,40,5000,918,918,21
3935,40,6000,844,844,-23
3935,40,7000,769,769,-67
3935,40,8000,694,694,-111
3935,40,9000,619,619,-155
3935,40,10000,544,544,-199
3935,40,11000,468,468,-244
3935,40,12000,393,393,-288
3935,40,13000,317,317,-3332
3935,40,14000,241,241,-377
3935,40,15000,166,166,-421
3935,40,16000,90,90,-466
3935,40,17000,14,14,-510
3935,40,18000,-62,-62,-555
3935,45,0,1273,1013,229
3935,45,1000,1199,1013,185
3935,45,2000,1124,1013,141
3935,45,3000,1050,1013,98
3935,45,4000,975,975,54
3935,45,5000,901,901,10
3935,45,6000,826,826,-35
3935,45,7000,751,751,-79
3935,45,8000,676,676,-123
3935,45,9000,600,600,-167
3935,45,10000,525,525,-211
3935,45,11000,449,449,-256
3935,45,12000,374,374,-300
3935,45,13000,298,298,-345
3935,45,14000,222,222,-389
3935,45,15000,147,147,-433
3935,45,16000,71,71,-478
3935,45,17000,-5,-5,-522
3935,45,18000,-81,-81,-567
3935,50,0,1256,995,218
3935,50,1000,1182,995,174
3935,50,2000,1107,995,130
3935,50,3000,1033,995,86
3935,50,4000,959,958,42
3935,50,5000,883,883,-2
3935,50,6000,808,808,-46
