Weight,Temp,PA,Ground Roll,Ground Roll + 50ft
3500,45,5000,2830,4510
3500,45,6000,3150,5110
3500,45,7000,3590,2960
3500,45,8000,4100,7010
3500,45,9000,4710,8360
3500,45,10000,5420,10160
3000,-35,0,810,1230
3000,-35,1000,880,1350
3000,-35,2000,370,1480
3000,-35,3000,160,1620
3000,-35,4000,1170,1790
3000,-35,5000,1290,1980
3000,-35,6000,1430,2190
3000,-35,7000,1610,2490
3000,-35,8000,1820,2840
3000,-35,9000,2060,3250
3000,-35,10000,2350,3730
3000,-25,0,880,1330
3000,-25,1000,960,1460
3000,-25,2000,1050,1600
3000,-25,3000,1160,1760
3000,-25,4000,1270,1940
3000,-25,5000,1400,2150
3000,-25,6000,1550,2390
3000,-25,7000,1750,2720
3000,-25,8000,1990,3100
3000,-25,9000,2250,3560
3000,-25,10000,2560,4110
3000,-15,0,950,1430
3000,-15,1000,1040,1570
3000,-15,2000,1140,1730
3000,-15,3000,1250,1910
3000,-15,4000,1380,2110
3000,-15,5000,1520,2340
3000,-15,6000,1680,2600
3000,-15,7000,1910,2960
3000,-15,8000,2160,3390
3000,-15,9000,2450,3900
3000,-15,10000,2800,4510
3000,-5,0,1020,1540
3000,-5,1000,1120,1690
3000,-5,2000,1230,1860
3000,-5,3000,1350,2060
3000,-5,4000,1490,2280
3000,-5,5000,1650,2530
3000,-5,6000,1820,2820
3000,-5,7000,2070,3220
3000,-5,8000,2340,3700
3000,-5,9000,2670,4260
3000,-5,10000,3040,4950
3000,5,0,1100,1660
3000,5,1000,1200,1820
3000,5,2000,1320,2010
3000,5,3000,1460,2220
3000,5,4000,1610,2460
3000,5,5000,1790,2740
3000,5,6000,1970,3060
3000,5,7000,2230,3500
3000,5,8000,2540,4020
3000,5,9000,2890,4660
3000,5,10000,3300,5430
3000,15,0,1180,1780
3000,15,1000,1290,1960
3000,15,2000,1420,2180
3000,15,3000,1570,2390
3000,15,4000,1730,2650
3000,15,5000,1920,2960
3000,15,6000,2130,3310
3000,15,7000,2410,3800
3000,15,8000,2740,4380
3000,15,9000,3130,5090
3000,15,10000,3570,5960
3000,25,0,1260,1900
3000,25,1000,1390,2100
3000,25,2000,1530,2320
3000,25,3000,1680,2570
3000,25,4000,1860,2850
3000,25,5000,2060,3190
3000,25,6000,2290,3570
3000,25,7000,2600,4110
3000,25,8000,2960,4760
3000,25,9000,3370,5550
3000,25,10000,3860,6530
3000,35,0,1350,2040
3000,35,1000,1480,2240
3000,35,2000,1630,2480
3000,35,3000,1800,2750
3000,35,4000,1990,3070
3000,35,5000,2210,3430
3000,35,6000,2460,3860
3000,35,7000,2790,4450
3000,35,8000,3180,5170
3000,35,9000,3640,6050
3000,35,10000,4170,7170
3000,45,0,1440,2170
3000,45,1000,1590,2400
3000,45,2000,1750,2660
3000,45,3000,1930,2950
3000,45,4000,2130,3290
3000,45,5000,2370,3690
3000,45,6000,2630,4160
3000,45,7000,3000,4810
3000,45,8000,3420,5610
3000,45,9000,3910,6600
3000,45,10000,4490,7870
